epoch,total_epochs,avg_loss
1,120,4.123
2,120,3.356
3,120,3.123
4,120,2.889
5,120,2.787
6,120,2.707
7,120,2.598
8,120,2.492
9,120,2.331
10,120,2.270
11,120,2.399
12,120,2.216
13,120,2.127
14,120,2.087
15,120,2.002
16,120,1.932
17,120,1.925
18,120,2.032
19,120,1.952
20,120,1.860
21,120,1.941
22,120,1.871
23,120,1.845
24,120,1.807
25,120,1.766
26,120,1.764
27,120,1.729
28,120,1.764
29,120,1.718
30,120,1.807
31,120,1.732
32,120,1.720
33,120,1.670
34,120,1.687
35,120,1.644
36,120,1.651
37,120,1.649
38,120,1.700
39,120,1.660
40,120,1.647
41,120,1.628
42,120,1.623
43,120,1.589
44,120,1.594
45,120,1.579
46,120,1.548
47,120,1.669
48,120,1.666
49,120,1.629
50,120,1.602
51,120,1.561
52,120,1.556
53,120,1.556
54,120,1.569
55,120,1.525
56,120,1.539
57,120,1.547
58,120,1.532
59,120,1.527
60,120,1.520
61,120,1.497
62,120,1.523
63,120,1.528
64,120,1.509
65,120,1.499
66,120,1.496
67,120,1.493
68,120,1.503
69,120,1.478
70,120,1.482
71,120,1.467
72,120,1.472
73,120,1.470
74,120,1.483
75,120,1.461
76,120,1.473
77,120,1.454
78,120,1.459
79,120,1.462
80,120,1.481
81,120,1.466
82,120,1.434
83,120,1.451
84,120,1.432
85,120,1.435
86,120,1.442
87,120,1.436
88,120,1.427
89,120,1.450
90,120,1.416
91,120,1.441
92,120,1.413
93,120,1.442
94,120,1.401
95,120,1.438
96,120,1.415
97,120,1.424
98,120,1.411
99,120,1.406
100,120,1.424
101,120,1.413
102,120,1.427
103,120,1.413
104,120,1.400
105,120,1.392
106,120,1.412
107,120,1.398
108,120,1.392
109,120,1.412
110,120,1.420
111,120,1.391
112,120,1.392
113,120,1.380
114,120,1.383
115,120,1.385
116,120,1.411
117,120,1.390
118,120,1.423
119,120,1.406
120,120,1.369
