exp_id,dataset,method,Smeasure,wFmeasure,meanFm,meanEm,MAE,source,protocol,repo_boundary,checkpoint,status
baseline_escnet_b5_416_e120,COD10K,epoch_120,0.873,0.808,0.827,0.942,0.020,/root/ESCNet/results_epoch120/result.txt,historical_legacy,dirty_history_result,/root/data-tmp/epoch_120.pth,historical_reference_not_clean_prob_final
baseline_escnet_b5_416_e120,CAMO,epoch_120,0.875,0.849,0.867,0.937,0.041,/root/ESCNet/results_epoch120/result.txt,historical_legacy,dirty_history_result,/root/data-tmp/epoch_120.pth,historical_reference_not_clean_prob_final
baseline_escnet_b5_416_e120,NC4K,epoch_120,0.893,0.864,0.881,0.945,0.028,/root/ESCNet/results_epoch120/result.txt,historical_legacy,dirty_history_result,/root/data-tmp/epoch_120.pth,historical_reference_not_clean_prob_final
teacher_escnet_b5_prob_e120,CAMO,epoch_120,0.881,0.842,0.864,0.933,0.043,/root/data-tmp/workspace/02_experiments/runs/prob_infer_b5_camo_oldckpt/results/CAMO/result.txt,prob_map,legacy_repo_camo_verification,/root/data-tmp/epoch_120.pth,verification_only_camo
light_b2_c64_e120_s42_prob_eval_v2,CAMO,epoch_120,0.862,0.818,0.843,0.918,0.051,/root/data-tmp/workspace/02_experiments/runs/light_b2_c64_e120_s42_prob_eval_v2/results/CAMO/result.txt,prob_map,light_b2_c64_snapshot,/root/data-tmp/workspace/02_experiments/runs/light_b2_c64_e120_s42/epoch_120.pth,final_main_light
light_b2_c64_e120_s42_prob_eval_v2,COD10K,epoch_120,0.866,0.782,0.808,0.928,0.024,/root/data-tmp/workspace/02_experiments/runs/light_b2_c64_e120_s42_prob_eval_v2/results/COD10K/result.txt,prob_map,light_b2_c64_snapshot,/root/data-tmp/workspace/02_experiments/runs/light_b2_c64_e120_s42/epoch_120.pth,final_main_light
light_b2_c64_e120_s42_prob_eval_v2,NC4K,epoch_120,0.886,0.840,0.862,0.933,0.033,/root/data-tmp/workspace/02_experiments/runs/light_b2_c64_e120_s42_prob_eval_v2/results/NC4K/result.txt,prob_map,light_b2_c64_snapshot,/root/data-tmp/workspace/02_experiments/runs/light_b2_c64_e120_s42/epoch_120.pth,final_main_light
baseline_escnet_b5_clean_prob_e120,CAMO,epoch_120,0.881,0.842,0.864,0.933,0.043,/root/data-tmp/workspace/02_experiments/runs/baseline_escnet_b5_clean_prob_e120/results/CAMO/result.txt,prob_map,clean_baseline_snapshot,/root/data-tmp/epoch_120.pth,clean_prob_re_eval_complete
baseline_escnet_b5_clean_prob_e120,COD10K,epoch_120,0.877,0.802,0.824,0.938,0.021,/root/data-tmp/workspace/02_experiments/runs/baseline_escnet_b5_clean_prob_e120/results/COD10K/result.txt,prob_map,clean_baseline_snapshot,/root/data-tmp/epoch_120.pth,clean_prob_re_eval_complete
baseline_escnet_b5_clean_prob_e120,NC4K,epoch_120,0.897,0.857,0.878,0.942,0.029,/root/data-tmp/workspace/02_experiments/runs/baseline_escnet_b5_clean_prob_e120/results/NC4K/result.txt,prob_map,clean_baseline_snapshot,/root/data-tmp/epoch_120.pth,clean_prob_re_eval_complete
kd_light_b2_c64_e120_s42_continue_epoch20_b6_w8_4gpu_prob_eval,CAMO,epoch_120,0.863,0.818,0.844,0.920,0.050,/root/data-tmp/workspace/02_experiments/runs/kd_light_b2_c64_e120_s42_continue_epoch20_b6_w8_4gpu_prob_eval/results/CAMO/result.txt,prob_map,kd_light_b2_c64_recovery_snapshot,/root/data-tmp/workspace/02_experiments/runs/kd_light_b2_c64_e120_s42_continue_epoch20_b6_w8_4gpu/epoch_120.pth,final_main_kd
kd_light_b2_c64_e120_s42_continue_epoch20_b6_w8_4gpu_prob_eval,COD10K,epoch_120,0.864,0.782,0.809,0.929,0.024,/root/data-tmp/workspace/02_experiments/runs/kd_light_b2_c64_e120_s42_continue_epoch20_b6_w8_4gpu_prob_eval/results/COD10K/result.txt,prob_map,kd_light_b2_c64_recovery_snapshot,/root/data-tmp/workspace/02_experiments/runs/kd_light_b2_c64_e120_s42_continue_epoch20_b6_w8_4gpu/epoch_120.pth,final_main_kd
kd_light_b2_c64_e120_s42_continue_epoch20_b6_w8_4gpu_prob_eval,NC4K,epoch_120,0.885,0.838,0.860,0.932,0.033,/root/data-tmp/workspace/02_experiments/runs/kd_light_b2_c64_e120_s42_continue_epoch20_b6_w8_4gpu_prob_eval/results/NC4K/result.txt,prob_map,kd_light_b2_c64_recovery_snapshot,/root/data-tmp/workspace/02_experiments/runs/kd_light_b2_c64_e120_s42_continue_epoch20_b6_w8_4gpu/epoch_120.pth,final_main_kd
light_b2_c64_no_edge_guidance_e120_s42_prob_eval,CAMO,no_edge_guidance_epoch120,0.846,0.786,0.818,0.899,0.058,/root/data-tmp/workspace/02_experiments/runs/light_b2_c64_no_edge_guidance_e120_s42_prob_eval/results/CAMO/result.txt,prob_map,isolated_workspace_no_edge_guidance_ablation,/root/data-tmp/workspace/02_experiments/runs/light_b2_c64_no_edge_guidance_e120_s42/light_b2_c64_no_edge_guidance_e120_s42_b6_w8_4gpu/epoch_120.pth,structural_ablation_candidate
light_b2_c64_no_edge_guidance_e120_s42_prob_eval,COD10K,no_edge_guidance_epoch120,0.847,0.749,0.779,0.917,0.028,/root/data-tmp/workspace/02_experiments/runs/light_b2_c64_no_edge_guidance_e120_s42_prob_eval/results/COD10K/result.txt,prob_map,isolated_workspace_no_edge_guidance_ablation,/root/data-tmp/workspace/02_experiments/runs/light_b2_c64_no_edge_guidance_e120_s42/light_b2_c64_no_edge_guidance_e120_s42_b6_w8_4gpu/epoch_120.pth,structural_ablation_candidate
light_b2_c64_no_edge_guidance_e120_s42_prob_eval,NC4K,no_edge_guidance_epoch120,0.873,0.815,0.842,0.921,0.038,/root/data-tmp/workspace/02_experiments/runs/light_b2_c64_no_edge_guidance_e120_s42_prob_eval/results/NC4K/result.txt,prob_map,isolated_workspace_no_edge_guidance_ablation,/root/data-tmp/workspace/02_experiments/runs/light_b2_c64_no_edge_guidance_e120_s42/light_b2_c64_no_edge_guidance_e120_s42_b6_w8_4gpu/epoch_120.pth,structural_ablation_candidate
