stem,ESCNet-B5_mae,Light-B2-C64_mae,Light-B2-C64_minus_ESCNet-B5_mae
camourflage_00012,0.021495,0.018938,-0.002557
camourflage_00018,0.010145,0.013672,0.003526
camourflage_00061,0.008733,0.007348,-0.001385
camourflage_00064,0.044557,0.069938,0.025382
camourflage_00071,0.024909,0.032336,0.007426
camourflage_00079,0.030750,0.031578,0.000828
camourflage_00087,0.008118,0.006356,-0.001763
camourflage_00088,0.021752,0.018639,-0.003113
camourflage_00090,0.018637,0.019471,0.000834
camourflage_00097,0.009105,0.008426,-0.000679
camourflage_00098,0.005106,0.006524,0.001418
camourflage_00100,0.019472,0.011758,-0.007714
camourflage_00102,0.058718,0.167425,0.108708
camourflage_00112,0.033878,0.028304,-0.005573
camourflage_00114,0.011297,0.010395,-0.000902
camourflage_00120,0.022404,0.017251,-0.005153
camourflage_00122,0.026418,0.028566,0.002148
camourflage_00124,0.040178,0.038390,-0.001788
camourflage_00129,0.009161,0.011158,0.001997
camourflage_00135,0.007844,0.011990,0.004146
camourflage_00138,0.023618,0.021735,-0.001882
camourflage_00141,0.006441,0.006388,-0.000053
camourflage_00145,0.017421,0.027681,0.010260
camourflage_00147,0.011336,0.010971,-0.000365
camourflage_00153,0.011329,0.010284,-0.001046
camourflage_00156,0.040556,0.039236,-0.001320
camourflage_00160,0.009576,0.009470,-0.000106
camourflage_00166,0.054904,0.141966,0.087061
camourflage_00169,0.021406,0.020400,-0.001007
camourflage_00171,0.009631,0.009762,0.000131
camourflage_00175,0.054433,0.089124,0.034692
camourflage_00183,0.038983,0.081264,0.042281
camourflage_00196,0.011434,0.012022,0.000588
camourflage_00197,0.017660,0.020005,0.002345
camourflage_00205,0.031786,0.017427,-0.014358
camourflage_00207,0.006870,0.006073,-0.000797
camourflage_00208,0.017847,0.012951,-0.004896
camourflage_00209,0.051482,0.054551,0.003069
camourflage_00224,0.006719,0.006801,0.000082
camourflage_00232,0.008875,0.008321,-0.000553
camourflage_00235,0.198435,0.177243,-0.021192
camourflage_00257,0.017589,0.021057,0.003468
camourflage_00259,0.006783,0.006823,0.000039
camourflage_00266,0.031880,0.028756,-0.003123
camourflage_00269,0.061986,0.038446,-0.023540
camourflage_00270,0.013665,0.113067,0.099402
camourflage_00273,0.018391,0.018150,-0.000242
camourflage_00275,0.076758,0.162660,0.085903
camourflage_00285,0.261443,0.266823,0.005379
camourflage_00310,0.099260,0.089993,-0.009267
camourflage_00332,0.014618,0.019332,0.004714
camourflage_00333,0.073597,0.064964,-0.008633
camourflage_00337,0.008026,0.008121,0.000095
camourflage_00348,0.012814,0.029682,0.016868
camourflage_00351,0.018506,0.023161,0.004654
camourflage_00361,0.009765,0.009438,-0.000327
camourflage_00364,0.072310,0.134136,0.061826
camourflage_00365,0.015599,0.025417,0.009818
